Tanggal,Waktu,Response,Protocol,IP,Port,Byte,Domain
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,14.141.100.5,11083,49,cakra.blueline.co.id
23-feb-2022,22:15:18.000,aq,udp,203.198.24.75,48644,56,carousell.co.id
23-feb-2022,22:15:18.000,aq,udp,14.141.100.5,10409,49,cakra.blueline.co.id
23-feb-2022,22:15:18.000,ar,udp,23.58.82.26,52986,102,api.veritrans.co.id
23-feb-2022,22:15:18.000,ar,udp,203.85.45.141,53,87,smtp.jne.co.id
23-feb-2022,22:15:18.000,ar,udp,117.111.29.14,50592,135,ns.detik.net.id
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,127.0.0.1,55359,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,ar,udp,14.141.100.5,11083,680,cakra.blueline.co.id
23-feb-2022,22:15:18.000,ar,udp,203.198.24.75,48644,685,carousell.co.id
23-feb-2022,22:15:18.000,ar,udp,14.141.100.5,10409,680,cakra.blueline.co.id
23-feb-2022,22:15:18.000,aq,udp,23.58.82.26,55924,48,api.veritrans.co.id
23-feb-2022,22:15:18.000,aq,udp,115.112.18.10,57864,63,host22.jnetwork.net.id
23-feb-2022,22:15:18.000,aq,udp,61.220.8.63,39844,62,ip-182-16-245-79.interlink.net.id
23-feb-2022,22:15:18.000,aq,udp,127.0.0.1,35746,32,ntp.ubuntu.com
23-feb-2022,22:15:18.000,aq,udp,122.252.0.4,1247,42,nssec1.radnet-digital.id
23-feb-2022,22:15:18.000,aq,udp,106.241.133.50,44217,58,pj.feb.unri.ac.id
23-feb-2022,22:15:18.000,aq,udp,61.220.8.117,39632,46,ns1.netciti.co.id
23-feb-2022,22:15:18.000,aq,udp,60.251.7.162,60934,43,goodfeel.my.id
23-feb-2022,22:15:18.000,ar,udp,23.58.82.26,55924,102,api.veritrans.co.id
